,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
41,342,United States,Woey,99.26%,"341,900","11,998","2,907","9,186","1,773"
42,343,Hong Kong,A21,98.27%,"69,181","11,994",145,"1,029","1,175"
43,344,France,BAKKALO,98.16%,"121,799","11,992",90,"1,192","1,751"
44,345,Singapore,[-Lockon-],97.68%,"144,706","11,986",63,"1,770","1,756"
45,346,United Kingdom,Ventus,99.02%,"96,524","11,977",507,"5,742","2,316"
46,347,Argentina,Asde,97.13%,"116,959","11,975",106,"1,128","1,135"
47,348,France,NerO,98.56%,"137,776","11,959",164,"1,882","1,257"
48,349,Canada,Stoof,99.04%,"101,232","11,947",93,"1,056","1,585"
49,350,United Kingdom,Apo11o,97.62%,"138,916","11,923",411,"2,399",570
0,351,Australia,Konoe Kanata,95.86%,"107,563","11,922",188,810,766
1,352,Russian Federation,_Twent,98.60%,"130,512","11,921",146,940,887
2,353,United States,TheKushVanMan,97.23%,"126,351","11,917",12,522,"1,098"
3,354,United States,AbrahamR,98.75%,"100,307","11,917",143,"1,449","1,260"
4,355,Vietnam,Neko-nyan,97.98%,"143,145","11,916",259,760,"1,341"
5,356,United States,Clarity,98.45%,"109,308","11,903",376,"1,560",468
6,357,Taiwan,superCreper,94.38%,"98,689","11,902",480,"3,493","1,430"
7,358,Russian Federation,Fr0zen,97.53%,"96,861","11,900",25,508,699
8,359,Spain,Kalal331,97.26%,"84,717","11,897",32,"1,142","2,136"
9,360,Denmark,Pablohh,98.59%,"99,115","11,894",25,770,854
10,361,United States,Area,99.34%,"155,000","11,892",397,"2,992","1,601"
